iter	Passed	Remaining
0	62	62068
1	64	32175
2	66	22196
3	69	17211
4	80	15969
5	83	13813
6	88	12598
7	91	11377
8	94	10456
9	97	9673
10	100	9017
11	110	9079
12	112	8546
13	116	8172
14	119	7820
15	125	7748
16	130	7541
17	136	7449
18	139	7189
19	143	7043
20	148	6910
21	150	6702
22	153	6525
23	156	6354
24	162	6340
25	166	6247
26	171	6197
27	174	6057
28	177	5948
29	181	5874
30	186	5832
31	191	5799
32	195	5733
33	198	5639
34	202	5580
35	205	5500
36	211	5492
37	213	5408
38	224	5528
39	228	5473
40	231	5418
41	235	5374
42	243	5424
43	246	5357
44	248	5278
45	251	5206
46	255	5181
47	259	5147
48	263	5118
49	268	5103
50	271	5049
51	273	4987
52	275	4929
53	281	4928
54	285	4898
55	287	4851
56	290	4804
57	293	4758
58	296	4730
59	299	4695
60	302	4661
61	304	4612
62	309	4602
63	315	4617
64	317	4573
65	320	4533
66	323	4500
67	325	4465
68	330	4461
69	333	4437
70	336	4401
71	344	4443
72	348	4419
73	350	4385
74	353	4353
75	357	4344
76	361	4329
77	364	4313
78	370	4315
79	374	4311
80	377	4283
81	380	4261
82	382	4226
83	385	4198
84	388	4182
85	390	4155
86	393	4128
87	395	4103
88	398	4082
89	404	4092
90	407	4065
91	409	4039
92	411	4014
93	414	3992
94	417	3974
95	419	3952
96	422	3934
97	424	3911
98	427	3890
99	433	3898
100	435	3879
101	438	3859
102	441	3841
103	443	3822
104	448	3821
105	451	3804
106	453	3782
107	455	3762
108	463	3790
109	465	3769
110	468	3751
111	470	3732
112	473	3712
113	475	3693
114	479	3690
115	482	3673
116	483	3650
117	486	3633
118	488	3615
119	494	3626
120	497	3612
121	499	3592
122	501	3574
123	503	3558
124	506	3546
125	509	3532
126	511	3518
127	514	3506
128	516	3490
129	520	3484
130	525	3487
131	528	3474
132	531	3463
133	534	3456
134	538	3450
135	540	3436
136	544	3427
137	548	3425
138	559	3466
139	561	3450
140	564	3437
141	568	3434
142	570	3420
143	576	3428
144	579	3414
145	584	3419
146	589	3422
147	592	3408
148	594	3394
149	598	3390
150	602	3386
151	607	3391
152	617	3416
153	619	3405
154	622	3391
155	626	3389
156	630	3386
157	648	3454
158	651	3446
159	654	3434
160	655	3416
161	663	3433
162	667	3426
163	669	3414
164	677	3429
165	680	3416
166	682	3403
167	684	3390
168	686	3377
169	692	3381
170	694	3368
171	697	3355
172	699	3344
173	703	3341
174	706	3331
175	708	3318
176	711	3306
177	713	3293
178	715	3282
179	720	3280
180	722	3267
181	724	3256
182	726	3244
183	729	3233
184	734	3236
185	737	3226
186	740	3219
187	742	3208
188	745	3198
189	748	3192
190	751	3182
191	753	3172
192	756	3162
193	758	3149
194	760	3138
195	766	3144
196	768	3132
197	770	3121
198	773	3112
199	775	3102
200	779	3099
201	782	3089
202	784	3079
203	786	3067
204	788	3056
205	790	3047
206	797	3054
207	799	3046
208	802	3035
209	804	3025
210	806	3015
211	811	3017
212	814	3008
213	816	2998
214	818	2986
215	820	2977
216	825	2978
217	828	2973
218	831	2964
219	833	2954
220	835	2946
221	838	2936
222	840	2930
223	843	2922
224	845	2912
225	847	2903
226	849	2894
227	855	2895
228	858	2890
229	860	2881
230	862	2872
231	865	2864
232	867	2855
233	871	2852
234	873	2843
235	875	2834
236	877	2825
237	879	2816
